Sample	Season	Site	Species	Condition	Compartment	Replicate	Species_Condition	Group	
prNPD01E	Spring	SierraNevada	Ppinaster	Symptomatic	Endosphere	1	Ppinaster_Symptomatic	prNPDE	
prNPD01R	Spring	SierraNevada	Ppinaster	Symptomatic	Rhizosphere	1	Ppinaster_Symptomatic	prNPDR	
prNPD02E	Spring	SierraNevada	Ppinaster	Symptomatic	Endosphere	2	Ppinaster_Symptomatic	prNPDE	
prNPD02R	Spring	SierraNevada	Ppinaster	Symptomatic	Rhizosphere	2	Ppinaster_Symptomatic	prNPDR	
prNPD03E	Spring	SierraNevada	Ppinaster	Symptomatic	Endosphere	3	Ppinaster_Symptomatic	prNPDE	
prNPD03R	Spring	SierraNevada	Ppinaster	Symptomatic	Rhizosphere	3	Ppinaster_Symptomatic	prNPDR	
prNPD04E	Spring	SierraNevada	Ppinaster	Symptomatic	Endosphere	4	Ppinaster_Symptomatic	prNPDE	
prNPD04R	Spring	SierraNevada	Ppinaster	Symptomatic	Rhizosphere	4	Ppinaster_Symptomatic	prNPDR	
prNPD05E	Spring	SierraNevada	Ppinaster	Symptomatic	Endosphere	5	Ppinaster_Symptomatic	prNPDE	
prNPD05R	Spring	SierraNevada	Ppinaster	Symptomatic	Rhizosphere	5	Ppinaster_Symptomatic	prNPDR	
prNPD06E	Spring	SierraNevada	Ppinaster	Symptomatic	Endosphere	6	Ppinaster_Symptomatic	prNPDE	
prNPD06R	Spring	SierraNevada	Ppinaster	Symptomatic	Rhizosphere	6	Ppinaster_Symptomatic	prNPDR	
prNPD07E	Spring	SierraNevada	Ppinaster	Symptomatic	Endosphere	7	Ppinaster_Symptomatic	prNPDE	
prNPD07R	Spring	SierraNevada	Ppinaster	Symptomatic	Rhizosphere	7	Ppinaster_Symptomatic	prNPDR	
prNPD08E	Spring	SierraNevada	Ppinaster	Symptomatic	Endosphere	8	Ppinaster_Symptomatic	prNPDE	
prNPD08R	Spring	SierraNevada	Ppinaster	Symptomatic	Rhizosphere	8	Ppinaster_Symptomatic	prNPDR	
